word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos
abandon,B1,B2,verb,verb
able,B1,A2,adjective,adjective
abolish,B2,C1,verb,verb
absence,B1,C1,noun,noun
absent,B1,C1,adjective,adjective
absolute,B1,B2,adjective,adjective
absorb,B1,B2,verb,verb
abstract,B1,B2,adjective,adjective
absurd,B2,C1,adjective,adjective
abundance,B1,C1,noun,noun
academy,B1,C1,noun,noun
accent,B1,B2,noun,noun
acceptable,A2,B2,adjective,adjective
acceptance,B1,C1,noun,noun
accessible,B1,C1,adjective,adjective
accidentally,B1,B2,adverb,adverb
accommodation,B2,B1,noun,noun
accompany,B1,B2,verb,verb
accomplish,B1,B2,verb,verb
according to,B1,A2,preposition,preposition
accordingly,B2,C1,adverb,adverb
accountant,B1,B2,noun,noun
accumulate,B2,C1,verb,verb
accuracy,B1,B2,noun,noun
accurate,B1,B2,adjective,adjective
accurately,B1,B2,adverb,adverb
accusation,B2,C1,noun,noun
accuse,B1,B2,verb,verb
acknowledge,B1,B2,verb,verb
acquire,B1,B2,verb,verb
acquisition,B2,C1,noun,noun
active,B1,A2,adjective,adjective
actress,B1,A1,noun,noun
acute,B2,C1,adjective,adjective
adapt,B1,B2,verb,verb
addition,A2,B1,noun,noun
additional,A2,B2,adjective,adjective
adjust,A2,B2,verb,verb
adjustment,B2,C1,noun,noun
administration,B1,B2,noun,noun
administrative,B2,C1,adjective,adjective
admire,A2,B1,verb,verb
admission,B1,C1,noun,noun
admit,A2,B1,verb,verb
adopt,B1,B2,verb,verb
adoption,B2,C1,noun,noun
advanced,A2,B1,adjective,adjective
adverse,B2,C1,adjective,adjective
advertise,B1,A2,verb,verb
advice,A2,A1,noun,noun
advise,A2,B1,verb,verb
affair,A2,B2,noun,noun
affect,B1,A2,verb,verb
affection,B1,C1,noun,noun
afterwards,B1,B2,adverb,adverb
aged,A2,B1,adjective,adjective
agency,A2,B2,noun,noun
agenda,B1,B2,noun,noun
agent,A2,B1,noun,noun
aggressive,B1,B2,adjective,adjective
agricultural,B1,C1,adjective,adjective
agriculture,B1,B2,noun,noun
ahead,A2,B1,adverb,adverb
air,A2,A1,noun,noun
airline,B1,A2,noun,noun
album,A1,B1,noun,noun
allegation,B2,C1,noun,noun
alliance,B2,C1,noun,noun
allowance,B1,C1,noun,noun
ally,B2,C1,noun,noun
almost,A1,A2,adverb,adverb
already,A1,A2,adverb,adverb
altogether,B1,B2,adverb,adverb
amazing,B1,A1,adjective,adjective
ambassador,B2,C1,noun,noun
ambition,A2,B1,noun,noun
ambulance,B1,B2,noun,noun
amusing,B1,B2,adjective,adjective
analogy,B2,C1,noun,noun
ancestor,A2,B2,noun,noun
anchor,B2,C1,noun,noun
angel,A2,C1,noun,noun
anger,B1,B2,noun,noun
angle,B1,B2,noun,noun
angrily,A2,,adverb,adverb
animation,B1,B2,noun,noun
anniversary,A2,B2,noun,noun
annoy,A2,B1,verb,verb
annoying,A2,B1,adjective,adjective
annual,B1,B2,adjective,adjective
annually,B1,B2,adverb,adverb
anonymous,B2,C1,adjective,adjective
anxiety,B1,B2,noun,noun
anxious,A2,B2,adjective,adjective
anybody,A1,A2,pronoun,pronoun
apart,A2,B1,adverb,adverb
apartment,A2,A1,noun,noun
apology,B1,B2,noun,noun
apparent,B1,B2,adjective,adjective
apparently,A2,B2,adverb,adverb
appetite,B1,C1,noun,noun
applaud,B1,C1,verb,verb
appoint,B1,C1,verb,verb
appointment,A2,B1,noun,noun
appreciate,A2,B1,verb,verb
appreciation,B1,C1,noun,noun
appropriate,A2,B2,adjective,adjective
approval,B1,B2,noun,noun
approve,B1,B2,verb,verb
architect,B1,A2,noun,noun
area,A2,A1,noun,noun
arena,B2,C1,noun,noun
arise,B1,B2,verb,verb
armed,A2,B2,adjective,adjective
army,B1,A2,noun,noun
arrange,B1,A2,verb,verb
arrangement,B1,A2,noun,noun
arrow,B1,B2,noun,noun
articulate,B2,C1,verb,verb
artificial,A2,B2,adjective,adjective
artist,B1,A1,noun,noun
artistic,B1,B2,adjective,adjective
ash,B2,C1,noun,noun
ashamed,B1,B2,adjective,adjective
aside,B1,B2,adverb,adverb
aspect,B1,B2,noun,noun
aspiration,B2,C1,noun,noun
aspire,B2,C1,verb,verb
assemble,B2,C1,verb,verb
assembly,B2,C1,noun,noun
assert,B2,C1,verb,verb
assign,B1,B2,verb,verb
assistance,B1,B2,noun,noun
associate,B1,B2,verb,verb
association,A2,B2,noun,noun
assume,B1,B2,verb,verb
assurance,B2,C1,noun,noun
attachment,B1,B2,noun,noun
attain,B1,C1,verb,verb
attend,B1,A2,verb,verb
attendance,B2,C1,noun,noun
attitude,A2,B1,noun,noun
audio,A2,B2,adjective,adjective
audit,B2,C1,noun,noun
automatic,A2,B2,adjective,adjective
automatically,A2,B2,adverb,adverb
availability,B2,C1,noun,noun
available,B1,A2,adjective,adjective
await,B2,C1,verb,verb
awareness,B1,B2,noun,noun
awkward,B1,B2,adjective,adjective
backup,B2,C1,noun,noun
bake,A2,B1,verb,verb
balloon,A2,B2,noun,noun
ballot,B2,C1,noun,noun
barely,B1,B2,adverb,adverb
barrel,B1,C1,noun,noun
baseball,A1,A2,noun,noun
basement,B1,B2,noun,noun
basic,A2,B1,adjective,adjective
basically,A2,B2,adverb,adverb
basket,A2,B2,noun,noun
basketball,A1,A2,noun,noun
battery,A2,B1,noun,noun
battlefield,B2,C1,noun,noun
bay,A2,C1,noun,noun
beam,B2,C1,noun,noun
bean,A1,A2,noun,noun
beast,B1,C1,noun,noun
beauty,A2,B1,noun,noun
bee,A1,B1,noun,noun
beef,A1,A2,noun,noun
beer,A2,A1,noun,noun
beg,A2,B2,verb,verb
beginning,A2,A1,noun,noun
behalf,B1,C1,noun,noun
behave,B1,A2,verb,verb
being,A2,B2,noun,noun
bell,A1,B1,noun,noun
beloved,B1,C1,adjective,adjective
bench,A2,C1,noun,noun
beneath,B1,C1,preposition,preposition
bent,B1,B2,adjective,adjective
beside,A1,B2,preposition,preposition
betray,B2,C1,verb,verb
bin,B1,A2,noun,noun
bind,B2,C1,verb,verb
biography,B1,C1,noun,noun
biology,B1,A2,noun,noun
birth,A1,A2,noun,noun
biscuit,A1,A2,noun,noun
bishop,B1,C1,noun,noun
bitter,B1,B2,adjective,adjective
bizarre,B2,C1,adjective,adjective
blade,B2,C1,noun,noun
blanket,A2,B2,noun,noun
bleed,B1,C1,verb,verb
bless,B1,C1,verb,verb
blessing,B1,C1,noun,noun
blind,B1,B2,adjective,adjective
blog,B1,A1,noun,noun
blonde,A2,A1,adjective,adjective
boast,B1,C1,verb,verb
bond,B1,B2,noun,noun
bone,A1,A2,noun,noun
bonus,A2,C1,noun,noun
booking,B1,B2,noun,noun
boom,B1,C1,noun,noun
boot,B1,A1,noun,noun
bored,A2,A1,adjective,adjective
borrow,A1,A2,verb,verb
bother,A2,B1,verb,verb
bounce,B1,C1,verb,verb
bound,B1,B2,adjective,adjective
brain,A1,A2,noun,noun
brave,A2,B1,adjective,adjective
breakdown,B2,C1,noun,noun
breakthrough,B1,C1,noun,noun
breast,B1,B2,noun,noun
breathe,A1,B1,verb,verb
brick,B1,B2,noun,noun
bride,A2,B1,noun,noun
bridge,A1,A2,noun,noun
brief,B1,B2,adjective,adjective
briefly,B1,B2,adverb,adverb
bright,A1,A2,adjective,adjective
broad,B1,B2,adjective,adjective
broadband,B2,C1,noun,noun
broken,A1,A2,adjective,adjective
browser,B2,C1,noun,noun
buddy,B1,C1,noun,noun
budget,A2,B2,noun,noun
bug,A2,B2,noun,noun
bullet,B1,B2,noun,noun
bunch,B1,B2,noun,noun
bureaucracy,B2,C1,noun,noun
burial,B2,C1,noun,noun
burst,B1,C1,verb,verb
bury,A2,B1,verb,verb
bush,A2,B2,noun,noun
button,A1,A2,noun,noun
cabin,B1,B2,noun,noun
cabinet,B2,C1,noun,noun
calculate,B1,B2,verb,verb
calculation,B1,C1,noun,noun
campus,A2,B1,noun,noun
canal,B1,B2,noun,noun
cancel,B1,B2,verb,verb
cancer,B1,B2,noun,noun
candidate,B2,B1,noun,noun
candle,B1,B2,noun,noun
cap,A1,B1,noun,noun
capability,B2,C1,noun,noun
capable,B1,B2,adjective,adjective
capacity,B1,B2,noun,noun
captain,A2,B1,noun,noun
career,B1,A1,noun,noun
careful,A1,A2,adjective,adjective
carefully,A1,A2,adverb,adverb
carpet,B1,A2,noun,noun
carriage,B1,C1,noun,noun
carrot,A2,A1,noun,noun
cartoon,A1,A2,noun,noun
carve,B2,C1,verb,verb
case,A1,A2,noun,noun
casual,B1,B2,adjective,adjective
cattle,B1,C1,noun,noun
caution,B1,C1,noun,noun
cautious,B1,C1,adjective,adjective
cave,B1,B2,noun,noun
cease,B2,C1,verb,verb
ceiling,B2,B1,noun,noun
celebrate,A1,A2,verb,verb
celebration,A1,B1,noun,noun
celebrity,B1,A2,noun,noun
cell,B1,B2,noun,noun
cemetery,B2,C1,noun,noun
cent,A2,A1,noun,noun
century,A2,A1,noun,noun
certainty,B1,B2,noun,noun
chairman,A2,B2,noun,noun
