word,cefr,pos
'm,A1,be-verb
're,A1,be-verb
's,A1,be-verb
a.m./a.m./am/am,A1,adverb
abandoned,B2,adjective
abnormal,B1,adjective
abnormally,B2,adverb
aboard,B1,adverb
aboriginal,B2,adjective
aborigine,B1,noun
abruptly,B2,adverb
absentee,B2,noun
abundant,B1,adjective
accessibility,B2,noun
accessory,B1,noun
accidental,B1,adjective
accustom,B1,verb
ache,B2,verb
achievable,B2,adjective
acknowledgment/acknowledgement,B1,noun
acquaintance,B1,noun
actively,B2,adverb
adaptable,B2,adjective
addict,B2,noun
addicted,B2,adjective
addressee,B1,noun
adjective,A2,noun
admirable,B2,adjective
admiration,B1,noun
admiringly,B2,adverb
admittedly,B2,adverb
adopted,B2,adjective
adorable,B1,adjective
adore,B2,verb
adorn,B2,verb
advancement,B2,noun
advent,B2,noun
adventurous,B2,adjective
adverb,B1,noun
adverbial,B1,adjective
adversely,B2,adverb
adversity,B2,noun
advert,B1,noun
adviser/advisor,B1,noun
aerobics,B1,noun
affectionate,B2,adjective
affectionately,B2,adverb
afterward,B1,adverb
ageless,B2,adjective
aggressively,B2,adverb
agonize/agonise,B2,verb
agony,B2,noun
air conditioning,B1,noun
air force,B1,noun
aircrew,B2,noun
airplane/aeroplane,A1,noun
aisle,A2,noun
alarm clock,A2,noun
alcoholism,B2,noun
allergic,B1,adjective
aloud,B1,adverb
alphabet,B1,noun
alphabetical,B2,adjective
alright,A2,adverb
altar,B2,noun
alternate,B2,verb
alternatively,B2,adverb
altitude,B2,noun
aluminum/aluminium,B2,noun
am,A1,be-verb
amaze,B2,verb
amazement,B2,noun
amazingly,B2,adverb
ambiguity,B2,noun
ambiguous,B2,adjective
ammonia,B2,noun
amongst,B2,preposition
ample,B2,adjective
amplifier,B2,noun
amplify,B2,verb
amuse,B2,verb
amused,A2,adjective
amusement,A2,noun
an,A1,determiner
analyze/analyse,B1,verb
anchorage,B2,noun
anchorman,B2,noun
anchorperson,B2,noun
anguish,B2,noun
animate,B2,verb
animated,B1,adjective
annoyance,B1,noun
ant,B1,noun
anti,B1,adjective
antiaircraft,B2,adjective
antibacterial,B2,adjective
anticancer,B2,noun
anticipation,B2,noun
antipollution,B2,noun
antique,B1,noun
antistatic,B2,adjective
antivirus,B2,noun
antonym,B1,noun
anxiously,B1,adverb
anyhow,B1,adverb
anymore,A2,adverb
ape,B1,noun
apologize/apologise,A2,verb
apostrophe,B2,noun
applause,B1,noun
appreciative,B2,adjective
approximate,B2,adjective
apron,A1,noun
arch,B2,noun
archaeologist/archeologist,B2,noun
arctic,B2,adjective
are,A1,be-verb
aristocracy,B2,noun
arithmetic,B1,noun
armchair,A2,noun
armful,B2,noun
arouse,B2,verb
arrogant,B2,adjective
artery,B2,noun
artificially,B2,adverb
artistry,B2,noun
aspirin,B1,noun
astonish,B2,verb
astonished,B2,adjective
astonishment,B2,noun
astronaut,A2,noun
astronomer,B1,noun
astronomy,B2,noun
athletic,B1,adjective
athletics,B2,noun
atlantic,B1,adjective
atom,A2,noun
atomic,B1,adjective
attached,B2,adjective
attainable,B2,adjective
attainment,B2,noun
attentive,B2,adjective
attentively,B2,adverb
attractiveness,B2,noun
atypical,B2,adjective
aubergine,B2,noun
audition,B2,noun
authoritative,B2,adjective
authorize/authorise,B2,verb
auxiliary,B1,adjective
avenue,B1,noun
awake,A1,adjective
awe,B2,noun
awesome,B1,adjective
ax/axe,B2,noun
axis,B2,noun
babysit,B1,verb
babysitter,B1,noun
backache,B1,noun
backpack,B1,noun
backpacker,B1,noun
backpacking,B1,noun
backward/backwards,B2,adverb
backyard,B2,noun
bacon,B1,noun
bad-tempered,B2,adjective
badminton,A2,noun
baggage,B1,noun
baker,B1,noun
bakery,B1,noun
balcony,A2,noun
bald,B1,adjective
balky,B2,adjective
ballad,B2,noun
bandage,B1,noun
bang,B1,verb
bank account,B1,noun
banker,B2,noun
banking,A2,noun
bankrupt,B2,verb
bankruptcy,B2,noun
barbecue,B1,verb
barber,A2,noun
barbershop,B2,noun
bark,B2,verb
barley,B2,noun
barman,B1,noun
barn,B2,noun
barometer,B2,noun
barren,B2,adjective
bartender,B2,noun
basin,B1,noun
batch,A2,noun
bathe,B1,verb
bathhouse,B2,noun
beagle,B2,noun
beak,B2,noun
beard,B1,noun
bearing,B2,noun
beautifully,B1,adverb
beautify,B2,verb
beaver,B1,noun
because of,B1,preposition
bedside,B1,noun
been,A2,be-verb
beginner,A2,noun
behavior/behaviour,A2,noun
bellow,B2,verb
belly,A2,noun
belongings,B2,noun
benevolence,B2,noun
benevolent,B2,adjective
berry,B2,noun
bestow,B2,verb
bestseller,B2,noun
bewilder,B2,verb
bewilderment,B2,noun
bidding,B2,noun
bikini,B2,noun
bilingual,B1,adjective
bio,B2,noun
biochemistry,B1,noun
biotechnology,B2,noun
birdcage,B2,noun
birthplace,B2,noun
bitterly,B2,adverb
blackboard,A2,noun
blaze,B2,verb
blindly,B2,adverb
blindness,B2,noun
blink,B2,verb
blogger,B1,noun
bloodstream,B2,noun
bloody,B2,adverb
bloom,A2,noun
blooming,B2,adjective
blossom,B2,noun
blur,B2,verb
blurt,B2,noun
blush,B2,verb
board game,A2,noun
boiled,A2,adjective
boiling,B2,adjective
boldly,B1,adverb
bolt,B2,verb
bombard,B2,noun
bomber,B2,noun
bony,B2,adjective
bookcase,A2,noun
bookish,B2,adjective
booklet,B2,noun
bookmark,B2,verb
bookshelf,A2,noun
bookshop,A2,noun
bookstore,A1,noun
booth,B2,noun
bore,B1,verb
boredom,B1,noun
bossy,B2,adjective
botany,B2,noun
bothered,B2,adjective
bothersome,B2,adjective
bourbon,B2,noun
boxer,B2,noun
boxing,B1,noun
bra,A2,noun
bracelet,B1,noun
bracket,B2,noun
brag,B2,noun
brainstorm,A2,noun
brainstorming,B1,noun
brake,B2,verb
brand-new,B1,adjective
brass,B1,noun
bravely,B1,adverb
bravery,B2,noun
breakable,B2,adjective
breakup,B2,noun
breathless,B1,adjective
breathtaking,B2,adjective
breeding,B1,noun
breeze,A2,noun
breezy,B2,adjective
brewery,B2,noun
brightly,B1,adverb
brilliantly,B2,adverb
broaden,B2,verb
broccoli,B1,noun
brochure,B2,noun
bronze,B1,noun
brother-in-law,B2,noun
brotherhood,B1,noun
browse,B2,verb
bruise,B2,noun
bucket,A1,noun
bud,B2,noun
builder,B1,noun
bulb,A2,noun
bulimia,B2,noun
bull,B1,noun
bulletin,B1,noun
bully,B2,verb
bum,B2,noun
bump,B1,verb
bumper,B2,noun
bun,B2,noun
burdensome,B2,adjective
bureau,B1,noun
burger,A1,noun
burglar,B1,noun
burglary,B2,noun
burgle,B2,verb
burning,B1,adjective
bus station,A2,noun
bus stop,A2,noun
businesswoman,A2,noun
bust,B1,verb
bustle,B2,verb
bustling,B2,adjective
butcher,B2,verb
butterfly,A1,noun
buyer,B1,noun
buzz,B2,verb
cab,A2,noun
cabbage,B1,noun
cafe/café,A1,noun
cafeteria,A2,noun
cage,B1,noun
calculator,B1,noun
calendar,A2,noun
calf,B1,noun
caller,B1,noun
calmly,B2,adverb
calmness,B1,noun
camel,B1,noun
campsite,B1,noun
candy,A1,noun
cane,B2,noun
canned,B1,adjective
cannonball,B2,noun
canon,B2,noun
canteen,B1,noun
capital letter,A2,noun
capsule,B1,noun
caption,B2,noun
captive,B2,noun
car park,A2,noun
caravan,B2,noun
carbon dioxide,B2,noun
carbon footprint,B2,noun
carbon monoxide,B2,noun
cardboard,B2,noun
cardigan,B2,noun
carefree,B2,adjective
carelessly,B1,adverb
carelessness,B1,noun
caring,B2,adjective
carnival,B2,noun
carpool,B2,noun
carton,B1,noun
cascade,B2,noun
cashpoint,B1,noun
cassette,A2,noun
casually,B2,adverb
catalog/catalogue,B2,noun
catalyst,B2,noun
catastrophe,B2,noun
catastrophic,B2,adjective
catchy,B2,adjective
categorization/categorisation,B2,noun
categorize/categorise,B1,verb
catering,B2,noun
cathedral,B2,noun
cd player,A1,noun
cd-rom,B1,noun
cellar,B2,noun
cellist,B2,noun
cello,B2,noun
center/centre,A2,noun
centigrade,B2,noun
centimeter/centimetre,A2,noun
central heating,B1,noun
cereal,A2,noun
certification,B2,noun
certify,B2,verb
champagne,A2,noun
chancellor,B2,noun
chaotic,B2,adjective
characterize/characterise,B1,verb
chariot,B1,noun
chat show,B1,noun
check-in counter/check-in,B1,noun
check-in desk/check-in,B1,noun
checkout,B1,noun
checkpoint,B2,noun
cheeky,B2,adjective
cheerfully,B2,adverb
cheerfulness,B2,noun
chemist,B1,noun
chemotherapy,B2,noun
cheque,A2,noun
cherish,B1,verb
cherished,B2,adjective
cherry,B2,noun
chess,A2,noun
chest of drawers,B1,noun
chew,B2,verb
chewing gum,B1,noun
childish,B2,adjective
chili/chilli,A2,noun
chimney,B2,noun
chimpanzee,A2,noun
chin,A2,noun
chirp,A2,noun
choke,B1,verb
christian,B1,adjective
chronological,B1,adjective
chuckle,B1,noun
