word,cefr,pos,voice_url
abortion,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/abort/abortion__us_1.ogg
accelerate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accel/accelerate__us_1.ogg
accommodate,B2,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg
accomplishment,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg
accordance,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg
accountability,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg
accountable,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg
accounting,,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg
accumulation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg
accused,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accused__us_1.ogg
acre,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acre_/acre__us_1.ogg
activate,B2,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activate__us_1.ogg
activation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activation__us_1.ogg
activist,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activist__us_1.ogg
adaptation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adaptation__us_1.ogg
adhere,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adh/adher/adhere__us_1.ogg
adjacent,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjac/adjacent__us_1.ogg
administer,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administer__us_1.ogg
administrator,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrator__us_1.ogg
