word,wf_rank,wf_pct,wf_zipf,sub_rank,sub_pct,sub_zipf,ox_cefr,ox_pos
the,1,100.0,7.73,2,79.07,7.55,A1,determiner
to,2,50.09,7.43,3,59.4,7.42,A1,"infinitive-to, preposition"
and,3,47.86,7.41,5,36.73,7.21,A1,conjunction
of,4,46.74,7.4,7,30.97,7.14,A1,preposition
a,5,42.64,7.36,,,,A1,determiner
in,6,34.64,7.27,9,25.49,7.05,A1,"adverb, preposition"
i,7,22.91,7.09,,,,A1,pronoun
is,8,21.79,7.07,8,25.71,7.06,A1,be-verb
for,9,18.99,7.01,15,17.97,6.9,A1,"conjunction, preposition"
that,10,18.99,7.01,6,35.44,7.2,A1,"adverb, conjunction, determiner, pronoun"
you,11,17.78,6.98,1,100.0,7.65,A1,pronoun
it,12,16.59,6.95,4,47.35,7.32,A1,"noun, pronoun"
on,13,15.14,6.91,17,16.75,6.87,A1,"adverb, preposition"
with,14,13.18,6.85,29,13.22,6.77,A1,preposition
this,15,12.31,6.82,13,19.94,6.95,A1,"determiner, pronoun"
was,16,12.31,6.82,21,15.29,6.83,A1,be-verb
be,17,11.49,6.79,24,14.63,6.81,A1,be-verb
as,18,10.97,6.77,60,6.23,6.44,A1,"conjunction, preposition"
are,19,10.24,6.74,25,14.6,6.81,A1,be-verb
have,20,9.55,6.71,18,16.55,6.87,A1,have-verb
at,21,9.33,6.7,46,8.45,6.57,A1,preposition
he,22,9.12,6.69,14,19.16,6.93,A1,pronoun
not,23,9.12,6.69,23,14.81,6.82,A1,adverb
by,24,8.51,6.66,97,3.79,6.23,A1,preposition
but,25,7.95,6.63,30,12.61,6.75,B1,"conjunction, preposition"
from,26,7.95,6.63,66,5.94,6.42,A1,preposition
my,27,6.93,6.57,16,17.16,6.88,A1,determiner
or,28,6.46,6.54,85,4.4,6.29,A1,conjunction
we,29,6.46,6.54,11,23.47,7.02,A1,pronoun
an,30,6.31,6.53,73,5.03,6.35,A1,determiner
your,31,6.31,6.53,19,16.02,6.85,A1,determiner
all,32,6.16,6.52,31,12.31,6.74,A1,"adverb, determiner, pronoun"
so,33,6.16,6.52,32,11.93,6.72,A1,"adverb, conjunction"
his,34,6.03,6.51,68,5.79,6.41,A1,"determiner, pronoun"
they,35,5.88,6.5,36,10.63,6.67,A1,pronoun
me,36,5.62,6.48,12,22.39,7.0,A1,pronoun
if,37,5.49,6.47,41,9.14,6.61,A1,conjunction
one,38,5.49,6.47,50,7.86,6.54,A2,"determiner, number, pronoun"
can,39,5.36,6.46,28,13.29,6.77,A2,"modal auxiliary, noun"
will,40,5.25,6.45,56,6.84,6.48,B2,"modal auxiliary, noun"
just,41,5.01,6.43,33,11.58,6.71,A1,adverb
like,42,4.79,6.41,37,10.36,6.66,A1,"conjunction, preposition, verb"
about,43,4.67,6.4,44,8.64,6.58,A1,"adverb, preposition"
up,44,4.56,6.39,45,8.54,6.58,A1,"adverb, preposition"
out,45,4.47,6.38,43,8.72,6.59,A1,adverb
what,46,4.47,6.38,10,23.97,7.03,A1,"determiner, pronoun"
has,47,4.36,6.37,100,3.6,6.2,A1,have-verb
when,48,4.36,6.37,70,5.32,6.37,A1,"adverb, conjunction"
more,49,4.26,6.36,102,3.51,6.19,A1,"adverb, determiner, pronoun"
do,50,4.17,6.35,20,15.35,6.83,A1,do-verb
no,51,4.17,6.35,22,15.2,6.83,A1,"adverb, determiner"
were,52,4.08,6.34,81,4.57,6.31,A1,be-verb
who,53,4.08,6.34,64,6.03,6.43,A1,pronoun
had,54,3.99,6.33,84,4.43,6.29,A1,have-verb
it's,55,3.99,6.33,,,,,
their,56,3.99,6.33,143,2.09,5.97,A1,determiner
there,57,3.8,6.31,34,10.94,6.69,A1,adverb
her,58,3.72,6.3,53,7.49,6.52,A1,"determiner, pronoun"
which,59,3.72,6.3,189,1.47,5.81,A1,"determiner, pronoun"
time,60,3.63,6.29,72,5.05,6.35,B2,"noun, verb"
get,61,3.56,6.28,38,10.02,6.65,A1,verb
been,62,3.46,6.27,86,4.39,6.29,A2,be-verb
would,63,3.46,6.27,78,4.66,6.32,A1,modal auxiliary
she,64,3.39,6.26,39,9.65,6.63,A1,pronoun
new,65,3.31,6.25,168,1.77,5.89,A1,adjective
people,66,3.31,6.25,109,3.08,6.14,A1,noun
how,67,3.24,6.24,54,7.44,6.52,A1,adverb
don't,68,2.94,6.2,,,,,
some,69,2.94,6.2,92,4.05,6.26,A1,"determiner, pronoun"
also,70,2.89,6.19,291,0.9,5.6,A1,adverb
them,71,2.89,6.19,79,4.61,6.31,A1,pronoun
now,72,2.81,6.18,48,7.99,6.55,B2,"adverb, conjunction"
other,73,2.7,6.16,149,2.01,5.95,A2,"determiner, pronoun"
i'm,74,2.63,6.15,,,,,
its,75,2.57,6.14,391,0.63,5.44,A1,"determiner, pronoun"
our,76,2.57,6.14,87,4.14,6.26,A1,determiner
than,77,2.51,6.13,157,1.95,5.94,A1,"conjunction, preposition"
good,78,2.46,6.12,63,6.05,6.43,B2,"adjective, noun"
only,79,2.46,6.12,108,3.08,6.14,A1,"adjective, adverb"
after,80,2.4,6.11,153,1.99,5.95,A1,"adverb, conjunction, preposition"
first,81,2.4,6.11,132,2.28,6.01,A1,"adjective, adverb"
him,82,2.4,6.11,47,8.44,6.57,A1,pronoun
into,83,2.4,6.11,133,2.28,6.0,A1,preposition
know,84,2.35,6.1,27,13.52,6.78,A1,verb
see,85,2.35,6.1,61,6.19,6.44,A1,verb
two,86,2.35,6.1,124,2.66,6.07,A1,number
make,87,2.23,6.08,105,3.35,6.17,A1,"noun, verb"
over,88,2.23,6.08,110,3.06,6.13,A1,"adverb, preposition"
think,89,2.23,6.08,59,6.39,6.45,A1,verb
any,90,2.18,6.07,123,2.67,6.07,A1,"determiner, pronoun"
then,91,2.18,6.07,83,4.43,6.29,A1,adverb
could,92,2.14,6.06,95,3.86,6.23,A1,modal auxiliary
back,93,2.05,6.04,75,4.88,6.34,B1,"adjective, adverb, noun, verb"
these,94,2.05,6.04,130,2.37,6.02,A1,"determiner, pronoun"
us,95,2.05,6.04,77,4.68,6.32,A1,pronoun
want,96,2.05,6.04,58,6.78,6.48,A1,"noun, verb"
because,97,1.99,6.03,111,3.06,6.13,A1,conjunction
go,98,1.99,6.03,40,9.51,6.63,A1,"noun, verb"
well,99,1.99,6.03,52,7.5,6.52,A1,"adjective, adverb"
said,100,1.9,6.01,117,2.84,6.1,,
way,101,1.9,6.01,103,3.47,6.19,A1,noun
1,102,1.86,6.0,,,,,
2,103,1.86,6.0,,,,,
most,104,1.86,6.0,269,0.98,5.64,A2,"adverb, determiner, pronoun"
much,105,1.86,6.0,126,2.57,6.06,A1,"adverb, determiner, pronoun"
very,106,1.86,6.0,106,3.28,6.16,A1,"adjective, adverb"
