learning_rank,word,wf_rank,wf_pct,wf_zipf,sub_rank,sub_pct,sub_zipf,ox_cefr,ox_pos,learning_score
1,to,2,50.09,7.43,3,59.4,7.42,A1,"infinitive-to, preposition",0.000181
2,is,8,21.79,7.07,8,25.71,7.06,A1,be-verb,0.0002
3,was,16,12.31,6.82,21,15.29,6.83,A1,be-verb,0.000215
4,work,116,1.7,5.96,142,2.12,5.97,A1,"noun, verb",0.000281
5,those,133,1.48,5.9,163,1.84,5.91,A1,"determiner, pronoun",0.000287
6,every,158,1.15,5.79,204,1.35,5.78,A1,determiner,0.000299
7,another,176,1.02,5.74,224,1.27,5.75,A2,"determiner, pronoun",0.000303
8,next,190,0.93,5.7,236,1.17,5.71,B2,"adverb, determiner, pronoun",0.000307
9,means,349,0.51,5.44,405,0.61,5.43,B2,noun,0.000339
10,started,405,0.46,5.39,455,0.54,5.38,,,0.000345
11,question,448,0.42,5.35,484,0.49,5.34,B2,"noun, verb",0.00035
12,six,519,0.36,5.29,534,0.43,5.28,A1,number,0.000358
13,longer,713,0.27,5.16,641,0.32,5.15,,,0.000376
14,worked,725,0.27,5.16,643,0.32,5.15,,,0.000376
15,step,779,0.25,5.13,676,0.29,5.12,A1,"noun, verb",0.000381
16,amazing,821,0.23,5.1,703,0.28,5.09,B1,adjective,0.000385
17,george,969,0.2,5.04,782,0.24,5.03,,,0.000394
18,rock,1002,0.2,5.03,801,0.23,5.02,B2,"noun, verb",0.000396
19,station,1061,0.19,5.01,788,0.24,5.02,A1,noun,0.000398
20,fair,1104,0.18,4.99,823,0.23,5.0,B1,"adjective, noun",0.000401
21,driving,1335,0.15,4.9,1021,0.18,4.89,,,0.000417
22,mrs,1372,0.14,4.89,1049,0.17,4.88,,,0.000419
23,seconds,1467,0.13,4.86,1070,0.17,4.87,,,0.000423
24,paris,1609,0.12,4.82,1145,0.15,4.83,,,0.00043
25,be,17,11.49,6.79,24,14.63,6.81,A1,be-verb,0.000433
26,waste,1652,0.12,4.81,1223,0.14,4.8,B1,"adjective, noun, verb",0.000433
27,shooting,1737,0.11,4.78,1317,0.13,4.77,B2,noun,0.000439
28,van,1742,0.11,4.78,1306,0.13,4.77,B1,noun,0.000439
29,beauty,1809,0.1,4.75,1330,0.13,4.76,A2,noun,0.000442
30,driver,1821,0.1,4.75,1331,0.13,4.76,A1,noun,0.000442
31,corner,1817,0.1,4.75,1387,0.12,4.74,A1,noun,0.000444
32,fantastic,1995,0.1,4.71,1502,0.11,4.7,A2,adjective,0.000452
33,crew,2033,0.09,4.7,1472,0.12,4.71,B2,noun,0.000452
34,soldiers,2054,0.09,4.7,1510,0.11,4.69,,,0.000454
35,chair,2067,0.09,4.69,1561,0.11,4.68,A1,noun,0.000456
36,comfortable,2194,0.09,4.66,1582,0.1,4.67,A2,adjective,0.00046
37,whenever,2375,0.08,4.63,1672,0.1,4.64,B1,"adverb, conjunction",0.000465
