rank,word,pos,cefr,frequency,zipf
1,the,determiner,A1,0.0537,7.73
2,to,"infinitive-to, preposition",A1,0.0269,7.43
3,and,conjunction,A1,0.0257,7.41
4,of,preposition,A1,0.0251,7.4
5,a,determiner,A1,0.0229,7.36
6,in,"adverb, preposition",A1,0.0186,7.27
7,i,pronoun,A1,0.0123,7.09
8,is,be-verb,A1,0.0117,7.07
9,for,"conjunction, preposition",A1,0.0102,7.01
10,that,"adverb, conjunction, determiner, pronoun",A1,0.0102,7.01
11,you,pronoun,A1,0.00955,6.98
12,it,"noun, pronoun",A1,0.00891,6.95
13,on,"adverb, preposition",A1,0.00813,6.91
14,with,preposition,A1,0.00708,6.85
15,this,"determiner, pronoun",A1,0.00661,6.82
16,was,be-verb,A1,0.00661,6.82
17,be,be-verb,A1,0.00617,6.79
18,as,"conjunction, preposition",A1,0.00589,6.77
19,are,be-verb,A1,0.0055,6.74
20,have,have-verb,A1,0.00513,6.71
21,at,preposition,A1,0.00501,6.7
22,he,pronoun,A1,0.0049,6.69
23,not,adverb,A1,0.0049,6.69
24,by,preposition,A1,0.00457,6.66
25,have to,modal auxiliary,A1,0.00431,6.63
26,but,"conjunction, preposition",B1,0.00427,6.63
27,from,preposition,A1,0.00427,6.63
28,my,determiner,A1,0.00372,6.57
29,or,conjunction,A1,0.00347,6.54
30,we,pronoun,A1,0.00347,6.54
31,an,determiner,A1,0.00339,6.53
32,your,determiner,A1,0.00339,6.53
33,all,"adverb, determiner, pronoun",A1,0.00331,6.52
34,so,"adverb, conjunction",A1,0.00331,6.52
35,his,"determiner, pronoun",A1,0.00324,6.51
36,they,pronoun,A1,0.00316,6.5
37,me,pronoun,A1,0.00302,6.48
38,if,conjunction,A1,0.00295,6.47
39,one,"determiner, number, pronoun",A2,0.00295,6.47
40,can,"modal auxiliary, noun",A2,0.00288,6.46
41,will,"modal auxiliary, noun",B2,0.00282,6.45
42,just,adverb,A1,0.00269,6.43
43,like,"conjunction, preposition, verb",A1,0.00257,6.41
44,about,"adverb, preposition",A1,0.00251,6.4
45,up,"adverb, preposition",A1,0.00245,6.39
46,out,adverb,A1,0.0024,6.38
47,what,"determiner, pronoun",A1,0.0024,6.38
48,has,have-verb,A1,0.00234,6.37
49,when,"adverb, conjunction",A1,0.00234,6.37
50,more,"adverb, determiner, pronoun",A1,0.00229,6.36
51,do,do-verb,A1,0.00224,6.35
52,no,"adverb, determiner",A1,0.00224,6.35
53,out of,preposition,A2,0.00219,6.34
54,were,be-verb,A1,0.00219,6.34
55,who,pronoun,A1,0.00219,6.34
56,had,have-verb,A1,0.00214,6.33
57,their,determiner,A1,0.00214,6.33
58,there,adverb,A1,0.00204,6.31
59,her,"determiner, pronoun",A1,0.002,6.3
60,which,"determiner, pronoun",A1,0.002,6.3
61,time,"noun, verb",B2,0.00195,6.29
62,get,verb,A1,0.00191,6.28
63,been,be-verb,A2,0.00186,6.27
64,would,modal auxiliary,A1,0.00186,6.27
65,she,pronoun,A1,0.00182,6.26
66,new,adjective,A1,0.00178,6.25
67,people,noun,A1,0.00178,6.25
68,how,adverb,A1,0.00174,6.24
69,some,"determiner, pronoun",A1,0.00158,6.2
70,also,adverb,A1,0.00155,6.19
71,them,pronoun,A1,0.00155,6.19
72,now,"adverb, conjunction",B2,0.00151,6.18
73,other,"determiner, pronoun",A2,0.00145,6.16
74,its,"determiner, pronoun",A1,0.00138,6.14
75,our,determiner,A1,0.00138,6.14
76,than,"conjunction, preposition",A1,0.00135,6.13
77,good,"adjective, noun",B2,0.00132,6.12
78,only,"adjective, adverb",A1,0.00132,6.12
79,after,"adverb, conjunction, preposition",A1,0.00129,6.11
80,first,"adjective, adverb",A1,0.00129,6.11
81,him,pronoun,A1,0.00129,6.11
82,into,preposition,A1,0.00129,6.11
83,no one,pronoun,A2,0.00127,6.1
84,know,verb,A1,0.00126,6.1
85,see,verb,A1,0.00126,6.1
86,two,number,A1,0.00126,6.1
87,make,"noun, verb",A1,0.0012,6.08
88,over,"adverb, preposition",A1,0.0012,6.08
89,think,verb,A1,0.0012,6.08
90,any,"determiner, pronoun",A1,0.00117,6.07
91,then,adverb,A1,0.00117,6.07
92,could,modal auxiliary,A1,0.00115,6.06
93,back,"adjective, adverb, noun, verb",B1,0.0011,6.04
94,these,"determiner, pronoun",A1,0.0011,6.04
95,us,pronoun,A1,0.0011,6.04
