rank,word,count,frequency,zipf
1,you,28787591,0.04439312,7.65
2,the,22761659,0.03510057,7.55
3,to,17099834,0.02636952,7.42
4,it,13631703,0.02102134,7.32
5,and,10572938,0.01630444,7.21
6,that,10203742,0.01573511,7.2
7,of,8915110,0.01374792,7.14
8,is,7400675,0.01141252,7.06
9,in,7337058,0.01131442,7.05
10,what,6900164,0.01064069,7.03
11,we,6755687,0.01041789,7.02
12,me,6444985,0.00993876,7.0
13,this,5739788,0.00885128,6.95
14,he,5516364,0.00850674,6.93
15,for,5174060,0.00797888,6.9
16,my,4938948,0.00761631,6.88
17,on,4821861,0.00743575,6.87
18,have,4764010,0.00734654,6.87
19,your,4610945,0.0071105,6.85
20,do,4419883,0.00681587,6.83
21,was,4401531,0.00678757,6.83
22,no,4374975,0.00674661,6.83
23,not,4262273,0.00657282,6.82
24,be,4210868,0.00649355,6.81
25,are,4203821,0.00648268,6.81
26,don,4158644,0.00641301,6.81
27,know,3892394,0.00600243,6.78
28,can,3826118,0.00590023,6.77
29,with,3806977,0.00587071,6.77
30,but,3631462,0.00560005,6.75
31,all,3544700,0.00546625,6.74
32,so,3434152,0.00529578,6.72
33,just,3334392,0.00514194,6.71
34,there,3148528,0.00485532,6.69
35,here,3138591,0.00484,6.68
36,they,3060204,0.00471912,6.67
37,like,2983027,0.0046001,6.66
38,get,2883193,0.00444615,6.65
39,she,2778359,0.00428449,6.63
40,go,2738504,0.00422303,6.63
41,if,2630800,0.00405694,6.61
42,right,2576821,0.0039737,6.6
43,out,2510010,0.00387067,6.59
44,about,2487348,0.00383572,6.58
45,up,2459855,0.00379332,6.58
46,at,2431398,0.00374944,6.57
47,him,2431059,0.00374892,6.57
48,now,2298830,0.00354501,6.55
49,oh,2298308,0.0035442,6.55
50,one,2263956,0.00349123,6.54
51,come,2203919,0.00339865,6.53
52,well,2159909,0.00333078,6.52
53,her,2154982,0.00332318,6.52
54,how,2140365,0.00330064,6.52
55,yeah,2000641,0.00308517,6.49
56,will,1969807,0.00303762,6.48
57,got,1968389,0.00303544,6.48
58,want,1950845,0.00300838,6.48
59,think,1839473,0.00283664,6.45
60,as,1792220,0.00276377,6.44
61,see,1781493,0.00274723,6.44
62,did,1742764,0.0026875,6.43
63,good,1741730,0.00268591,6.43
64,who,1734491,0.00267474,6.43
65,why,1722797,0.00265671,6.42
66,from,1709582,0.00263633,6.42
67,let,1705262,0.00262967,6.42
68,his,1666361,0.00256968,6.41
69,yes,1634050,0.00251986,6.4
70,when,1531731,0.00236207,6.37
71,going,1520767,0.00234516,6.37
72,time,1453708,0.00224175,6.35
73,an,1449181,0.00223477,6.35
74,okay,1428884,0.00220347,6.34
75,back,1405024,0.00216668,6.34
76,look,1348467,0.00207946,6.32
77,us,1346903,0.00207705,6.32
78,would,1340070,0.00206651,6.32
79,them,1327509,0.00204714,6.31
80,where,1322226,0.00203899,6.31
81,were,1315964,0.00202934,6.31
82,take,1312232,0.00202358,6.31
83,then,1275502,0.00196694,6.29
84,had,1274537,0.00196545,6.29
85,or,1267646,0.00195483,6.29
86,been,1265150,0.00195098,6.29
87,our,1191941,0.00183808,6.26
88,gonna,1188190,0.0018323,6.26
89,tell,1176290,0.00181395,6.26
90,really,1174710,0.00181151,6.26
91,man,1173588,0.00180978,6.26
92,some,1166914,0.00179949,6.26
93,say,1153915,0.00177944,6.25
94,hey,1149292,0.00177231,6.25
95,could,1111837,0.00171456,6.23
96,didn,1100643,0.00169729,6.23
97,by,1090424,0.00168153,6.23
98,need,1040131,0.00160398,6.21
99,something,1038638,0.00160168,6.2
100,has,1035310,0.00159654,6.2
101,too,1022558,0.00157688,6.2
102,more,1010390,0.00155811,6.19
103,way,1000182,0.00154237,6.19
104,down,978966,0.00150966,6.18
105,make,963885,0.0014864,6.17
106,very,945653,0.00145828,6.16
107,never,930831,0.00143543,6.16
108,only,887363,0.0013684,6.14
109,people,885915,0.00136616,6.14
110,over,880841,0.00135834,6.13
111,because,880112,0.00135721,6.13
112,little,869522,0.00134088,6.13
113,please,842120,0.00129863,6.11
114,love,830324,0.00128044,6.11
115,should,823711,0.00127024,6.1
116,mean,821275,0.00126648,6.1
117,said,818878,0.00126279,6.1
118,sorry,818019,0.00126146,6.1
119,give,811919,0.00125205,6.1
120,off,799351,0.00123267,6.09
121,am,785830,0.00121182,6.08
122,thank,773577,0.00119293,6.08
123,any,767968,0.00118428,6.07
124,two,764564,0.00117903,6.07
125,even,744544,0.00114816,6.06
126,much,738599,0.00113899,6.06
127,doing,732145,0.00112904,6.05
128,sure,709390,0.00109394,6.04
129,thing,697528,0.00107565,6.03
130,these,683128,0.00105345,6.02
131,help,666286,0.00102747,6.01
132,first,656387,0.00101221,6.01
133,into,655747,0.00101122,6.0
134,anything,640206,0.00098726,5.99
