rank,word,frequency,zipf
1,the,0.0537,7.73
2,to,0.0269,7.43
3,and,0.0257,7.41
4,of,0.0251,7.4
5,a,0.0229,7.36
6,in,0.0186,7.27
7,i,0.0123,7.09
8,is,0.0117,7.07
9,for,0.0102,7.01
10,that,0.0102,7.01
11,you,0.00955,6.98
12,it,0.00891,6.95
13,on,0.00813,6.91
14,with,0.00708,6.85
15,this,0.00661,6.82
16,was,0.00661,6.82
17,be,0.00617,6.79
18,as,0.00589,6.77
19,are,0.0055,6.74
20,have,0.00513,6.71
21,at,0.00501,6.7
22,he,0.0049,6.69
23,not,0.0049,6.69
24,by,0.00457,6.66
25,but,0.00427,6.63
26,from,0.00427,6.63
27,my,0.00372,6.57
28,or,0.00347,6.54
29,we,0.00347,6.54
30,an,0.00339,6.53
31,your,0.00339,6.53
32,all,0.00331,6.52
33,so,0.00331,6.52
34,his,0.00324,6.51
35,they,0.00316,6.5
36,me,0.00302,6.48
37,if,0.00295,6.47
38,one,0.00295,6.47
39,can,0.00288,6.46
40,will,0.00282,6.45
41,just,0.00269,6.43
42,like,0.00257,6.41
43,about,0.00251,6.4
44,up,0.00245,6.39
45,out,0.0024,6.38
46,what,0.0024,6.38
47,has,0.00234,6.37
48,when,0.00234,6.37
49,more,0.00229,6.36
50,do,0.00224,6.35
51,no,0.00224,6.35
52,were,0.00219,6.34
53,who,0.00219,6.34
54,had,0.00214,6.33
55,it's,0.00214,6.33
56,their,0.00214,6.33
57,there,0.00204,6.31
58,her,0.002,6.3
59,which,0.002,6.3
60,time,0.00195,6.29
61,get,0.00191,6.28
62,been,0.00186,6.27
63,would,0.00186,6.27
64,she,0.00182,6.26
65,new,0.00178,6.25
66,people,0.00178,6.25
67,how,0.00174,6.24
68,don't,0.00158,6.2
69,some,0.00158,6.2
70,also,0.00155,6.19
71,them,0.00155,6.19
72,now,0.00151,6.18
73,other,0.00145,6.16
74,i'm,0.00141,6.15
75,its,0.00138,6.14
76,our,0.00138,6.14
77,than,0.00135,6.13
78,good,0.00132,6.12
79,only,0.00132,6.12
80,after,0.00129,6.11
81,first,0.00129,6.11
82,him,0.00129,6.11
83,into,0.00129,6.11
84,know,0.00126,6.1
85,see,0.00126,6.1
86,two,0.00126,6.1
87,make,0.0012,6.08
88,over,0.0012,6.08
89,think,0.0012,6.08
90,any,0.00117,6.07
91,then,0.00117,6.07
92,could,0.00115,6.06
93,back,0.0011,6.04
94,these,0.0011,6.04
95,us,0.0011,6.04
96,want,0.0011,6.04
97,because,0.00107,6.03
98,go,0.00107,6.03
99,well,0.00107,6.03
100,said,0.00102,6.01
101,way,0.00102,6.01
102,1,0.001,6.0
103,2,0.001,6.0
104,most,0.001,6.0
105,much,0.001,6.0
106,very,0.001,6.0
107,where,0.001,6.0
108,even,0.000977,5.99
109,should,0.000977,5.99
110,may,0.000955,5.98
111,here,0.000933,5.97
112,need,0.000933,5.97
113,really,0.000933,5.97
114,did,0.000912,5.96
115,right,0.000912,5.96
116,work,0.000912,5.96
117,year,0.000912,5.96
118,years,0.000912,5.96
119,being,0.000891,5.95
120,day,0.000891,5.95
121,too,0.000891,5.95
122,going,0.000871,5.94
123,before,0.000851,5.93
124,off,0.000851,5.93
125,why,0.000851,5.93
126,made,0.000832,5.92
127,still,0.000832,5.92
128,take,0.000832,5.92
129,3,0.000813,5.91
130,got,0.000813,5.91
131,many,0.000813,5.91
132,never,0.000813,5.91
133,those,0.000794,5.9
134,life,0.000776,5.89
135,say,0.000776,5.89
136,world,0.000776,5.89
137,down,0.000759,5.88
138,great,0.000759,5.88
139,through,0.000741,5.87
140,you're,0.000741,5.87
141,last,0.000724,5.86
142,s,0.000724,5.86
143,that's,0.000724,5.86
144,while,0.000724,5.86
145,best,0.000692,5.84
146,such,0.000692,5.84
147,love,0.000661,5.82
148,man,0.000661,5.82
149,home,0.000646,5.81
150,long,0.000646,5.81
151,look,0.000646,5.81
152,something,0.000646,5.81
153,use,0.000646,5.81
154,can't,0.000631,5.8
155,same,0.000631,5.8
156,used,0.000631,5.8
157,both,0.000617,5.79
158,every,0.000617,5.79
159,4,0.000603,5.78
160,am,0.000603,5.78
161,come,0.000603,5.78
162,part,0.000603,5.78
163,state,0.000603,5.78
164,three,0.000603,5.78
165,around,0.000589,5.77
166,between,0.000589,5.77
167,always,0.000575,5.76
168,better,0.000575,5.76
